,Question,Correct_Ans,Answer_1,Answer_2
0,1.0,A,A,
1,2.0,B,E,C
2,3.0,B,E,B
3,4.0,C,C,
4,5.0,C,C,
5,6.0,D,D,
6,7.0,D,D,
7,8.0,C,E,E
8,9.0,E,E,
9,10.0,B,B,
10,11.0,E,E,
11,12.0,B,B,
12,13.0,D,D,
13,14.0,B,A,B
14,15.0,B,B,
15,16.0,C,C,
16,17.0,C,C,
17,18.0,C,C,
18,19.0,E,E,
19,20.0,E,E,
20,21.0,A,A,
21,22.0,A,E,E
22,23.0,A,A,
23,24.0,C,C,
24,25.0,D,C,C
25,26.0,E,E,
26,27.0,E,E,
27,28.0,B,B,
28,29.0,B,B,
29,30.0,A,A,
30,31.0,B,A,A
31,32.0,B,E,E
32,33.0,E,B,E
33,34.0,E,C,C
34,35.0,B,B,
35,36.0,B,B,
36,37.0,A,C,C
37,38.0,A,A,
38,39.0,A,A,
39,40.0,C,C,
40,41.0,C,C,
41,42.0,D,C,A
42,43.0,C,C,
43,44.0,E,C,D
44,45.0,A,A,
45,46.0,A,A: betrayal,A: betrayal
46,47.0,B,B,
47,48.0,E,E,
48,49.0,B,B,
49,50.0,C,C,
50,51.0,C,C,
51,52.0,C,D,D
52,53.0,A,C,C
53,54.0,B,B,
54,55.0,D,D,
55,56.0,E,D,"B,D,E"
56,57.0,D,D,
57,58.0,E,E,
58,59.0,B,B,
59,60.0,E,E,
60,61.0,D,D,
61,62.0,B,B,
62,63.0,E,C,C
63,64.0,C,C,
64,65.0,D,D,
65,66.0,A,A,
66,67.0,B,B,
67,68.0,A,C,C
68,69.0,B,A,A
69,70.0,A,A,
70,71.0,D,D,
71,72.0,C,C,
72,73.0,D,D,
73,74.0,E,E,
74,75.0,B,B,
75,76.0,D,D,
76,77.0,E,E,
77,78.0,E,E,
78,79.0,A,D,D
79,80.0,C,B,E
80,81.0,C,C,
81,82.0,C,E,B
82,83.0,D,B,D
83,84.0,C,C,
84,85.0,D,D,
85,86.0,B,A: fees,C: employability
86,87.0,A,"A, B, E","A, B, E"
87,88.0,A,A,
88,89.0,D,A,D
89,90.0,A,A,
90,91.0,E,B,B
91,92.0,A,C,A
92,93.0,B,B,
93,94.0,C,C,
94,95.0,E,B,D
95,96.0,A,B,B
96,97.0,D,D,
97,98.0,A,A,
98,99.0,B,A,A
99,100.0,C,C,
100,101.0,A,D,A
101,102.0,A,E,E
102,103.0,E,E,
103,104.0,B,B,
104,105.0,B,B,
105,106.0,B,B,
106,107.0,C,E,"E,C"
107,108.0,A,C,A
108,109.0,E,E,
109,110.0,E,E,
110,111.0,C,A,C
111,112.0,D,D,
112,113.0,B,B,
113,114.0,B,B,
114,115.0,A,A,
115,116.0,D,D,
116,117.0,C,C,
117,118.0,B,B: money,B: money
118,119.0,D,A,A
119,120.0,D,D,
120,121.0,E,E,
121,122.0,D,D,
122,123.0,C,C,
123,124.0,E,D,D
124,125.0,A,A,
125,126.0,E,E,
126,127.0,B,B,
127,128.0,A,A,
128,129.0,E,A,A
129,130.0,A,E,E
130,131.0,D,C,C
131,132.0,C,C,
132,133.0,B,B,
133,134.0,A,E,B
134,135.0,B,B,
135,136.0,B,B,
136,137.0,D,D,
137,138.0,E,D,D
138,139.0,C,C,
139,140.0,B,B,
140,141.0,D,D,
141,142.0,B,A: free will,B: choice
142,143.0,B,B,
143,144.0,E,C,C
144,145.0,C,C,
145,146.0,C,C,
146,147.0,E,E,
147,148.0,A,A,
148,149.0,D,D,
149,150.0,E,E,
150,151.0,D,C,C
151,152.0,A,A,
152,153.0,A,A,
153,154.0,C,C,
154,155.0,D,B,B
155,156.0,B,B,
156,157.0,E,E,
157,158.0,A,A,
158,159.0,D,D,
159,160.0,C,E,C
160,161.0,A,A,
161,162.0,A,A,
162,163.0,E,E,
163,164.0,B,B,
164,165.0,B,B,
165,166.0,A,A,
166,167.0,D,D,
167,168.0,E,E,
168,169.0,B,B,
169,170.0,C,A,A
170,171.0,C,C,
171,172.0,B,B,
172,173.0,D,D,
173,174.0,D,B,B
174,175.0,C,C,
175,176.0,A,A,
176,177.0,E,E,
177,178.0,E,C,E
178,179.0,D,D,
179,180.0,B,B,
180,181.0,B,B,
181,182.0,A,A: nightmares,C: frightening
182,183.0,A,B,A
183,184.0,B,B,
184,185.0,A,A,
185,186.0,A,A,
186,187.0,E,D: enough,E
187,188.0,E,E,
188,189.0,E,E,
189,190.0,C,A,D
190,191.0,B,B,
191,192.0,B,B,
192,193.0,D,D,
193,194.0,E,E,
194,195.0,A,A,
195,196.0,C,C,
196,197.0,B,B,
197,198.0,B,B,
198,199.0,A,C,E
